Classificação;Descrição;Código;Preço
Serviço;Retoque;0000;R$ 0,00
Produto;Bieleta do estabilizador dianteiro;0001;R$ 0,00
Produto;Limpa pneu gel c/ 3 Kg;0002;R$ 0,00
Serviço;Martelinho de Ouro - Funilaria;0003;R$ 0,00
Produto;Cera pós-lavagem;0004;R$ 0,00
Produto;Silicone gel c/ 3 Kg;0005;R$ 0,00
Produto;Calotas;0006;R$ 0,00
Produto;Pneus;0007;R$ 0,00
Produto;Tapetes;0008;R$ 0,00
Serviço;Funilaria e pintura;0009;R$ 0,00
Serviço;Curso de pilotagem;0010;R$ 0,00
Serviço;Lavagem de veículos;0011;R$ 0,00
Serviço;Suporte técnico em informática;0012;R$ 0,00
Produto;Bucha da Barra Estabilizadora Dianteira;0014;R$ 0,00
Produto;Balança da suspensão  dianteira;0015;R$ 0,00
Serviço;Alinhamento;0016;R$ 0,00
Produto;Kit couro 30% 5 lugares;0017;R$ 0,00
Serviço;Comissão sobre Financiamentos;0018;R$ 0,00
Produto;Terminal de direção;0019;R$ 0,00
Produto;Lixa d'água;0020;R$ 0,00
Produto;Retentor da saída de transmissão;0031;R$ 0,00
Produto;Coxim da suspensão;0032;R$ 0,00
Produto;Óleo da caixa de marcha;0033;R$ 0,00
Produto;Bucha do suporte traseiro do motor;0034;R$ 0,00
Produto;Kit Batente e Coifa do amortecedor traseiro;0035;R$ 0,00
Produto;Amortecedor traseiro;0036;R$ 0,00
Produto;Pastilha de freio dianteiro;0037;R$ 0,00
Produto;Fluído de freio;0038;R$ 0,00
Produto;Querosene;0039;R$ 0,00
Serviço;Recarga de toner;0040;R$ 0,00
Produto;Boia do Tanque de Combustível;0051;R$ 0,00
Produto;Interruptor de Óleo;0052;R$ 0,00
Produto;Coxim do Amortecedor Dianteiro;0053;R$ 0,00
Produto;Coxim do Amortecedor Traseiro;0054;R$ 0,00
Produto;Silicone para Juntas - Ultra black;0055;R$ 0,00
Produto;Alavanca de Câmbio;0056;R$ 0,00
Produto;Rolamento do Coxim do Amortecedor dianteiro;0057;R$ 0,00
Produto;Rolamento;0058;R$ 0,00
Produto;Filtro de Oleo;0059;R$ 0,00
Produto;Jogo de Cabos de Vela;0060;R$ 0,00
Produto;Jogo de Velas da Ignição;0061;R$ 0,00
Produto;Junta da Tampa de Valvúla;0062;R$ 0,00
Produto;Junta do Cárter;0063;R$ 0,00
Produto;Junta do Suporte do Filtro de Óleo;0064;R$ 0,00
Produto;Kit Correia do Alternador;0065;R$ 0,00
Serviço;Limpeza dos Bicos injetores;0066;R$ 0,00
Produto;Aditivo Orgânico do Radiador;0067;R$ 0,00
Produto;Descarbonizante;0068;R$ 0,00
